pH,Phosphorus,Potassium,Urea,Temperature,Plant Type
6.603302708489381,13.439841033763322,118.45728728064594,46.72116146733377,68.10001898303855,Carrots
6.301647335565756,12.212517749604544,129.30085460752545,48.35440905340167,58.57514994542392,Carrots
6.352778171187255,12.196417393583353,132.1587688448058,50.75315029769895,63.976763849985645,Carrots
6.002878668933528,19.595835617478173,140.92247462597828,43.134850043217945,56.54631559755497,Carrots
6.506088826925474,18.233837552579004,132.16259257293797,40.31941029768919,68.0342169359247,Carrots
6.597614609780747,15.36780121428082,128.34308419210367,45.222908624335886,67.07216477888355,Carrots
6.789323839490181,10.420823400395108,106.70597726573548,33.46255578563908,58.36679204360456,Carrots
6.791778237720125,12.071781146302191,134.85460220980974,40.756667716581006,51.12354903984351,Carrots
6.6357082210188985,16.872595933037758,125.61947506620922,43.71024479715812,57.33352048997027,Carrots
6.509433032642866,15.167213497988806,120.8593217540669,39.47647116030543,73.34623605259283,Carrots
6.035856748780115,14.897672679630762,141.37027718743846,59.2301010160492,53.69723130713829,Carrots
6.554661467341016,16.63654398821109,115.05315530745928,31.766062471995607,60.673573278579816,Carrots
6.673909410915231,11.694073984529613,133.66446307619276,45.26232166241067,70.91416896702304,Carrots
6.2773696582503575,11.573598402921643,117.57493563762924,41.96771045170519,56.14647964015678,Carrots
6.553876062284547,16.139357305292457,134.52852225685697,48.18740150367852,50.32717126108978,Carrots
6.282255572408679,18.150474932549493,134.54489908756915,44.71693796729277,61.63387321540552,Carrots
6.446495923719879,13.325076284429294,137.3629182494559,34.13434567259619,67.62154127710974,Carrots
6.528454959104972,19.26692221897794,131.4404712434742,42.43296948506752,55.35482799131951,Carrots
6.24409533716027,14.012776700700226,107.9546413371048,45.888704461483854,71.90219368501148,Carrots
6.447305288400572,15.106488496593943,129.5682805879834,42.1001442967859,67.94903953348175,Carrots
6.000638959193637,14.650231007882358,142.95398345013726,42.27653497115212,56.089964808767874,Carrots
6.024858185338511,17.39719380654305,141.62881457320353,47.61411924593321,62.76802504745021,Carrots
